sec,ID,x_coordinate(m),y_coordinate(m),AP_ID
1063,60,21399,33054,693
2878,60,21399,33054,693
4695,60,21399,33054,693
6521,60,21399,33054,693
8306,60,21399,33054,693
10089,60,21399,33054,693
11916,60,21399,33054,693
13738,60,21399,33054,693
15541,60,21399,33054,693
17331,60,21399,33054,693
19106,60,21399,33054,693
20917,60,21399,33054,693
22745,60,21399,33054,693
24529,60,21399,33054,693
26339,60,21399,33054,693
28168,60,21399,33054,693
29960,60,21399,33054,693
31762,60,21399,33054,693
33589,60,21399,33054,693
35363,60,21399,33054,693
37162,60,21399,33054,693
38971,60,21399,33054,693
40749,60,21399,33054,693
42578,60,21399,33054,693
44390,60,21399,33054,693
46217,60,21399,33054,693
47995,60,21399,33054,693
49778,60,21399,33054,693
51605,60,21399,33054,693
53432,60,21399,33054,693
55223,60,21399,33054,693
57015,60,21399,33054,693
58838,60,21399,33054,693
60656,60,21399,33054,693
62459,60,21399,33054,693
64243,60,21399,33054,693
66061,60,21399,33054,693
67837,60,21399,33054,693
69656,60,21399,33054,693
71467,60,21399,33054,693
73264,60,21399,33054,693
75080,60,21399,33054,693
76881,60,21399,33054,693
78674,60,21399,33054,693
80464,60,21399,33054,693
82293,60,21399,33054,693
84113,60,21399,33054,693
85936,60,21399,33054,693
1331,60,21399,33054,693
3105,60,21399,33054,693
4913,60,21399,33054,693
6718,60,21399,33054,693
8500,60,21399,33054,693
10278,60,21399,33054,693
12082,60,21399,33054,693
13870,60,21399,33054,693
15663,60,21399,33054,693
17466,60,21399,33054,693
19268,60,21399,33054,693
21073,60,21399,33054,693
22845,60,21399,33054,693
24641,60,21399,33054,693
26455,60,21399,33054,693
28252,60,21399,33054,693
30030,60,21399,33054,693
31823,60,21399,33054,693
33630,60,21399,33054,693
35431,60,21399,33054,693
37210,60,21399,33054,693
39001,60,21399,33054,693
40801,60,21399,33054,693
42611,60,21399,33054,693
44399,60,21399,33054,693
46229,60,21399,33054,693
48042,60,21399,33054,693
49814,60,21399,33054,693
51607,60,21399,33054,693
53432,60,21399,33054,693
55210,60,21399,33054,693
56986,60,21399,33054,693
58781,60,21399,33054,693
60553,60,21399,33054,693
62331,60,21399,33054,693
64139,60,21399,33054,693
65948,60,21399,33054,693
67765,60,21399,33054,693
69583,60,21399,33054,693
71381,60,21399,33054,693
73175,60,21399,33054,693
74993,60,21399,33054,693
76776,60,21399,33054,693
78601,60,21399,33054,693
80421,60,21399,33054,693
82221,60,21399,33054,693
84017,60,21399,33054,693
85799,60,21399,33054,693
1215,60,21399,33054,693
2987,60,21399,33054,693
4775,60,21399,33054,693
6575,60,21399,33054,693
8382,60,21399,33054,693
10162,60,21399,33054,693
11977,60,21399,33054,693
13805,60,21399,33054,693
15612,60,21399,33054,693
17398,60,21399,33054,693
19219,60,21399,33054,693
21033,60,21399,33054,693
22827,60,21399,33054,693
24615,60,21399,33054,693
26427,60,21399,33054,693
28217,60,21399,33054,693
30009,60,21399,33054,693
31805,60,21399,33054,693
33617,60,21399,33054,693
35446,60,21399,33054,693
37231,60,21399,33054,693
39006,60,21399,33054,693
40779,60,21399,33054,693
42606,60,21399,33054,693
44386,60,21399,33054,693
46190,60,21399,33054,693
47988,60,21399,33054,693
49799,60,21399,33054,693
51620,60,21399,33054,693
53430,60,21399,33054,693
55218,60,21399,33054,693
57012,60,21399,33054,693
58807,60,21399,33054,693
60624,60,21399,33054,693
62425,60,21399,33054,693
64223,60,21399,33054,693
66012,60,21399,33054,693
67786,60,21399,33054,693
69558,60,21399,33054,693
71348,60,21399,33054,693
73152,60,21399,33054,693
74978,60,21399,33054,693
76760,60,21399,33054,693
78558,60,21399,33054,693
80370,60,21399,33054,693
82187,60,21399,33054,693
83964,60,21399,33054,693
85752,60,21399,33054,693
1162,60,21399,33054,693
2973,60,21399,33054,693
4779,60,21399,33054,693
6600,60,21399,33054,693
8374,60,21399,33054,693
10164,60,21399,33054,693
11951,60,21399,33054,693
13779,60,21399,33054,693
15551,60,21399,33054,693
17362,60,21399,33054,693
19180,60,21399,33054,693
20981,60,21399,33054,693
22767,60,21399,33054,693
24580,60,21399,33054,693
26356,60,21399,33054,693
28175,60,21399,33054,693
29985,60,21399,33054,693
31788,60,21399,33054,693
33576,60,21399,33054,693
35402,60,21399,33054,693
37225,60,21399,33054,693
39011,60,21399,33054,693
40837,60,21399,33054,693
42623,60,21399,33054,693
44395,60,21399,33054,693
46185,60,21399,33054,693
48010,60,21399,33054,693
49825,60,21399,33054,693
51605,60,21399,33054,693
53395,60,21399,33054,693
55205,60,21399,33054,693
57010,60,21399,33054,693
58833,60,21399,33054,693
60651,60,21399,33054,693
62462,60,21399,33054,693
64291,60,21399,33054,693
66099,60,21399,33054,693
67888,60,21399,33054,693
69689,60,21399,33054,693
71503,60,21399,33054,693
73304,60,21399,33054,693
75080,60,21399,33054,693
76872,60,21399,33054,693
78684,60,21399,33054,693
80475,60,21399,33054,693
82301,60,21399,33054,693
84110,60,21399,33054,693
85896,60,21399,33054,693
1278,60,21399,33054,693
3088,60,21399,33054,693
4913,60,21399,33054,693
6707,60,21399,33054,693
8502,60,21399,33054,693
10325,60,21399,33054,693
12113,60,21399,33054,693
13890,60,21399,33054,693
15695,60,21399,33054,693
17483,60,21399,33054,693
19265,60,21399,33054,693
21091,60,21399,33054,693
22863,60,21399,33054,693
24649,60,21399,33054,693
26473,60,21399,33054,693
28299,60,21399,33054,693
30100,60,21399,33054,693
31890,60,21399,33054,693
33700,60,21399,33054,693
35507,60,21399,33054,693
37305,60,21399,33054,693
39107,60,21399,33054,693
40930,60,21399,33054,693
42753,60,21399,33054,693
44573,60,21399,33054,693
46363,60,21399,33054,693
48170,60,21399,33054,693
49968,60,21399,33054,693
51761,60,21399,33054,693
53582,60,21399,33054,693
55392,60,21399,33054,693
57203,60,21399,33054,693
58999,60,21399,33054,693
60820,60,21399,33054,693
62640,60,21399,33054,693
64416,60,21399,33054,693
66194,60,21399,33054,693
68005,60,21399,33054,693
69798,60,21399,33054,693
71627,60,21399,33054,693
73443,60,21399,33054,693
75258,60,21399,33054,693
77061,60,21399,33054,693
78879,60,21399,33054,693
80692,60,21399,33054,693
82466,60,21399,33054,693
84286,60,21399,33054,693
86078,60,21399,33054,693
1491,60,21399,33054,693
3263,60,21399,33054,693
5051,60,21399,33054,693
6857,60,21399,33054,693
8637,60,21399,33054,693
10425,60,21399,33054,693
12209,60,21399,33054,693
14038,60,21399,33054,693
15812,60,21399,33054,693
17641,60,21399,33054,693
19422,60,21399,33054,693
21222,60,21399,33054,693
23041,60,21399,33054,693
24839,60,21399,33054,693
26649,60,21399,33054,693
28433,60,21399,33054,693
30225,60,21399,33054,693
32029,60,21399,33054,693
33840,60,21399,33054,693
35620,60,21399,33054,693
37444,60,21399,33054,693
39233,60,21399,33054,693
41007,60,21399,33054,693
42810,60,21399,33054,693
44612,60,21399,33054,693
46431,60,21399,33054,693
48221,60,21399,33054,693
50051,60,21399,33054,693
51829,60,21399,33054,693
53638,60,21399,33054,693
55454,60,21399,33054,693
57236,60,21399,33054,693
59026,60,21399,33054,693
60820,60,21399,33054,693
62614,60,21399,33054,693
64423,60,21399,33054,693
66210,60,21399,33054,693
67986,60,21399,33054,693
69781,60,21399,33054,693
71610,60,21399,33054,693
73425,60,21399,33054,693
75251,60,21399,33054,693
77041,60,21399,33054,693
78831,60,21399,33054,693
80626,60,21399,33054,693
82416,60,21399,33054,693
84225,60,21399,33054,693
86022,60,21399,33054,693
1422,60,21399,33054,693
3225,60,21399,33054,693
5005,60,21399,33054,693
6831,60,21399,33054,693
8636,60,21399,33054,693
10453,60,21399,33054,693
12258,60,21399,33054,693
14046,60,21399,33054,693
15854,60,21399,33054,693
17660,60,21399,33054,693
19487,60,21399,33054,693
21306,60,21399,33054,693
23124,60,21399,33054,693
24937,60,21399,33054,693
26723,60,21399,33054,693
28505,60,21399,33054,693
30294,60,21399,33054,693
32117,60,21399,33054,693
33946,60,21399,33054,693
35748,60,21399,33054,693
37577,60,21399,33054,693
39355,60,21399,33054,693
41175,60,21399,33054,693
43000,60,21399,33054,693
44800,60,21399,33054,693
46587,60,21399,33054,693
48363,60,21399,33054,693
50180,60,21399,33054,693
52006,60,21399,33054,693
53809,60,21399,33054,693
55656,60,21399,33054,693
57449,60,21399,33054,693
59223,60,21399,33054,693
61019,60,21399,33054,693
62807,60,21399,33054,693
64584,60,21399,33054,693
66376,60,21399,33054,693
68191,60,21399,33054,693
69964,60,21399,33054,693
71749,60,21399,33054,693
73552,60,21399,33054,693
75359,60,21399,33054,693
77133,60,21399,33054,693
78943,60,21399,33054,693
80729,60,21399,33054,693
82550,60,21399,33054,693
84374,60,21399,33054,693
86186,60,21399,33054,693
1560,60,21399,33054,693
3344,60,21399,33054,693
5131,60,21399,33054,693
6912,60,21399,33054,693
8691,60,21399,33054,693
10506,60,21399,33054,693
12312,60,21399,33054,693
14119,60,21399,33054,693
15899,60,21399,33054,693
17675,60,21399,33054,693
19476,60,21399,33054,693
21253,60,21399,33054,693
23054,60,21399,33054,693
24868,60,21399,33054,693
26691,60,21399,33054,693
28469,60,21399,33054,693
30269,60,21399,33054,693
32066,60,21399,33054,693
33873,60,21399,33054,693
35664,60,21399,33054,693
37486,60,21399,33054,693
39283,60,21399,33054,693
41092,60,21399,33054,693
42870,60,21399,33054,693
44655,60,21399,33054,693
46468,60,21399,33054,693
48268,60,21399,33054,693
50041,60,21399,33054,693
51863,60,21399,33054,693
53670,60,21399,33054,693
55444,60,21399,33054,693
57264,60,21399,33054,693
59062,60,21399,33054,693
60836,60,21399,33054,693
62630,60,21399,33054,693
64421,60,21399,33054,693
66222,60,21399,33054,693
68008,60,21399,33054,693
69818,60,21399,33054,693
71606,60,21399,33054,693
73394,60,21399,33054,693
75184,60,21399,33054,693
77000,60,21399,33054,693
78796,60,21399,33054,693
80599,60,21399,33054,693
82421,60,21399,33054,693
84213,60,21399,33054,693
86005,60,21399,33054,693
1428,60,21399,33054,693
3221,60,21399,33054,693
4997,60,21399,33054,693
6781,60,21399,33054,693
8573,60,21399,33054,693
10398,60,21399,33054,693
12184,60,21399,33054,693
13991,60,21399,33054,693
15779,60,21399,33054,693
17554,60,21399,33054,693
19373,60,21399,33054,693
21157,60,21399,33054,693
22966,60,21399,33054,693
24758,60,21399,33054,693
26579,60,21399,33054,693
28405,60,21399,33054,693
30200,60,21399,33054,693
31995,60,21399,33054,693
33795,60,21399,33054,693
35594,60,21399,33054,693
37394,60,21399,33054,693
39166,60,21399,33054,693
40954,60,21399,33054,693
42739,60,21399,33054,693
44512,60,21399,33054,693
46330,60,21399,33054,693
48106,60,21399,33054,693
49910,60,21399,33054,693
51686,60,21399,33054,693
53458,60,21399,33054,693
55248,60,21399,33054,693
57058,60,21399,33054,693
58856,60,21399,33054,693
60667,60,21399,33054,693
62468,60,21399,33054,693
64275,60,21399,33054,693
66063,60,21399,33054,693
67867,60,21399,33054,693
69670,60,21399,33054,693
71448,60,21399,33054,693
73255,60,21399,33054,693
75036,60,21399,33054,693
76837,60,21399,33054,693
78661,60,21399,33054,693
80455,60,21399,33054,693
82259,60,21399,33054,693
84049,60,21399,33054,693
85874,60,21399,33054,693
1315,60,21399,33054,693
3103,60,21399,33054,693
4950,60,21399,33054,693
6927,60,21399,33054,693
9856,60,21399,33054,693
11672,60,21399,33054,693
13550,60,21399,33054,693
15391,60,21399,33054,693
17213,60,21399,33054,693
19048,60,21399,33054,693
20854,60,21399,33054,693
22733,60,21399,33054,693
24548,60,21399,33054,693
26408,60,21399,33054,693
28262,60,21399,33054,693
30091,60,21399,33054,693
32351,60,21399,33054,693
34515,60,21399,33054,693
36382,60,21399,33054,693
38200,60,21399,33054,693
40182,60,21399,33054,693
42357,60,21399,33054,693
44345,60,21399,33054,693
46169,60,21399,33054,693
47972,60,21399,33054,693
50147,60,21399,33054,693
52288,60,21399,33054,693
54264,60,21399,33054,693
56111,60,21399,33054,693
57922,60,21399,33054,693
59741,60,21399,33054,693
61656,60,21399,33054,693
63466,60,21399,33054,693
65281,60,21399,33054,693
67108,60,21399,33054,693
68909,60,21399,33054,693
70746,60,21399,33054,693
72671,60,21399,33054,693
74459,60,21399,33054,693
76343,60,21399,33054,693
78152,60,21399,33054,693
79970,60,21399,33054,693
81853,60,21399,33054,693
83658,60,21399,33054,693
85436,60,21399,33054,693
1265,60,21399,33054,693
3061,60,21399,33054,693
4935,60,21399,33054,693
6765,60,21399,33054,693
8558,60,21399,33054,693
10382,60,21399,33054,693
12165,60,21399,33054,693
13976,60,21399,33054,693
15881,60,21399,33054,693
17682,60,21399,33054,693
19508,60,21399,33054,693
21330,60,21399,33054,693
23329,60,21399,33054,693
25127,60,21399,33054,693
26916,60,21399,33054,693
28786,60,21399,33054,693
30587,60,21399,33054,693
32546,60,21399,33054,693
34920,60,21399,33054,693
37086,60,21399,33054,693
38926,60,21399,33054,693
40727,60,21399,33054,693
42580,60,21399,33054,693
44413,60,21399,33054,693
46227,60,21399,33054,693
48079,60,21399,33054,693
49890,60,21399,33054,693
52073,60,21399,33054,693
53890,60,21399,33054,693
55722,60,21399,33054,693
57889,60,21399,33054,693
61548,60,21399,33054,693
63373,60,21399,33054,693
65220,60,21399,33054,693
67286,60,21399,33054,693
69121,60,21399,33054,693
70929,60,21399,33054,693
72806,60,21399,33054,693
74715,60,21399,33054,693
76800,60,21399,33054,693
78590,60,21399,33054,693
80406,60,21399,33054,693
82414,60,21399,33054,693
84763,60,21399,33054,693
256,60,21399,33054,693
2341,60,21399,33054,693
4245,60,21399,33054,693
6079,60,21399,33054,693
7918,60,21399,33054,693
10590,60,21399,33054,693
12496,60,21399,33054,693
14329,60,21399,33054,693
16186,60,21399,33054,693
18348,60,21399,33054,693
20159,60,21399,33054,693
22132,60,21399,33054,693
24610,60,21399,33054,693
26590,60,21399,33054,693
28418,60,21399,33054,693
30212,60,21399,33054,693
32987,60,21399,33054,693
34855,60,21399,33054,693
38485,60,21399,33054,693
45213,60,21399,33054,693
47261,60,21399,33054,693
50322,60,21399,33054,693
52147,60,21399,33054,693
57810,60,21399,33054,693
59651,60,21399,33054,693
61475,60,21399,33054,693
63427,60,21399,33054,693
65224,60,21399,33054,693
67024,60,21399,33054,693
68816,60,21399,33054,693
70650,60,21399,33054,693
72476,60,21399,33054,693
74287,60,21399,33054,693
76100,60,21399,33054,693
77939,60,21399,33054,693
79789,60,21399,33054,693
81595,60,21399,33054,693
83381,60,21399,33054,693
85159,60,21399,33054,693
572,60,21399,33054,693
2437,60,21399,33054,693
4295,60,21399,33054,693
6123,60,21399,33054,693
7927,60,21399,33054,693
9723,60,21399,33054,693
11505,60,21399,33054,693
13329,60,21399,33054,693
15150,60,21399,33054,693
16969,60,21399,33054,693
17563,60,21399,33054,693
19355,60,21399,33054,693
21205,60,21399,33054,693
23018,60,21399,33054,693
24835,60,21399,33054,693
26619,60,21399,33054,693
28425,60,21399,33054,693
30226,60,21399,33054,693
32130,60,21399,33054,693
34073,60,21399,33054,693
35875,60,21399,33054,693
37653,60,21399,33054,693
39470,60,21399,33054,693
41244,60,21399,33054,693
43062,60,21399,33054,693
44889,60,21399,33054,693
46721,60,21399,33054,693
48522,60,21399,33054,693
50370,60,21399,33054,693
52166,60,21399,33054,693
53989,60,21399,33054,693
55773,60,21399,33054,693
57595,60,21399,33054,693
59442,60,21399,33054,693
61281,60,21399,33054,693
63108,60,21399,33054,693
64936,60,21399,33054,693
66762,60,21399,33054,693
68634,60,21399,33054,693
70450,60,21399,33054,693
72263,60,21399,33054,693
74072,60,21399,33054,693
75874,60,21399,33054,693
77800,60,21399,33054,693
79594,60,21399,33054,693
81476,60,21399,33054,693
83300,60,21399,33054,693
85074,60,21399,33054,693
17553,60,21399,33054,671
557,60,21399,33054,693
2378,60,21399,33054,693
4169,60,21399,33054,693
5964,60,21399,33054,693
7743,60,21399,33054,693
9569,60,21399,33054,693
11527,60,21399,33054,693
13353,60,21399,33054,693
15162,60,21399,33054,693
16965,60,21399,33054,693
18769,60,21399,33054,693
20564,60,21399,33054,693
22368,60,21399,33054,693
24220,60,21399,33054,693
26018,60,21399,33054,693
27818,60,21399,33054,693
29620,60,21399,33054,693
31427,60,21399,33054,693
33211,60,21399,33054,693
35038,60,21399,33054,693
36835,60,21399,33054,693
38608,60,21399,33054,693
40396,60,21399,33054,693
42172,60,21399,33054,693
43948,60,21399,33054,693
45750,60,21399,33054,693
47527,60,21399,33054,693
49551,60,21399,33054,693
51331,60,21399,33054,693
53232,60,21399,33054,693
55192,60,21399,33054,693
57596,60,21399,33054,693
60015,60,21399,33054,693
61934,60,21399,33054,693
63739,60,21399,33054,693
65549,60,21399,33054,693
67350,60,21399,33054,693
69952,60,21399,33054,693
71887,60,21399,33054,693
73790,60,21399,33054,693
75678,60,21399,33054,693
77540,60,21399,33054,693
79674,60,21399,33054,693
81460,60,21399,33054,693
83302,60,21399,33054,693
85261,60,21399,33054,693
693,60,21399,33054,693
2727,60,21399,33054,693
4654,60,21399,33054,693
6457,60,21399,33054,693
8274,60,21399,33054,693
10188,60,21399,33054,693
12152,60,21399,33054,693
14566,60,21399,33054,693
16381,60,21399,33054,693
18172,60,21399,33054,693
20195,60,21399,33054,693
22041,60,21399,33054,693
23983,60,21399,33054,693
25828,60,21399,33054,693
27703,60,21399,33054,693
29563,60,21399,33054,693
31360,60,21399,33054,693
33182,60,21399,33054,693
35214,60,21399,33054,693
37177,60,21399,33054,693
39438,60,21399,33054,693
42026,60,21399,33054,693
44070,60,21399,33054,693
46129,60,21399,33054,693
48338,60,21399,33054,693
50159,60,21399,33054,693
52300,60,21399,33054,693
54410,60,21399,33054,693
56446,60,21399,33054,693
58867,60,21399,33054,693
60924,60,21399,33054,693
62938,60,21399,33054,693
67461,60,21399,33054,693
69430,60,21399,33054,693
71362,60,21399,33054,693
73376,60,21399,33054,693
75363,60,21399,33054,693
77522,60,21399,33054,693
79780,60,21399,33054,693
81796,60,21399,33054,693
83772,60,21399,33054,693
85979,60,21399,33054,693
1384,60,21399,33054,693
3262,60,21399,33054,693
5245,60,21399,33054,693
7094,60,21399,33054,693
9238,60,21399,33054,693
11280,60,21399,33054,693
13349,60,21399,33054,693
15597,60,21399,33054,693
17577,60,21399,33054,693
19569,60,21399,33054,693
21386,60,21399,33054,693
23548,60,21399,33054,693
25530,60,21399,33054,693
27459,60,21399,33054,693
30504,60,21399,33054,693
32313,60,21399,33054,693
34963,60,21399,33054,693
36735,60,21399,33054,693
39307,60,21399,33054,693
41239,60,21399,33054,693
44350,60,21399,33054,693
47467,60,21399,33054,693
49342,60,21399,33054,693
51195,60,21399,33054,693
53603,60,21399,33054,693
55587,60,21399,33054,693
57551,60,21399,33054,693
59605,60,21399,33054,693
61578,60,21399,33054,693
63455,60,21399,33054,693
65437,60,21399,33054,693
67545,60,21399,33054,693
69323,60,21399,33054,693
71500,60,21399,33054,693
73343,60,21399,33054,693
75159,60,21399,33054,693
77023,60,21399,33054,693
78845,60,21399,33054,693
891,60,21399,33054,693
2866,60,21399,33054,693
5587,60,21399,33054,693
7953,60,21399,33054,693
9852,60,21399,33054,693
12873,60,21399,33054,693
14667,60,21399,33054,693
16587,60,21399,33054,693
18470,60,21399,33054,693
20296,60,21399,33054,693
22221,60,21399,33054,693
24033,60,21399,33054,693
25842,60,21399,33054,693
27910,60,21399,33054,693
29720,60,21399,33054,693
31518,60,21399,33054,693
33356,60,21399,33054,693
35187,60,21399,33054,693
36999,60,21399,33054,693
38900,60,21399,33054,693
40684,60,21399,33054,693
42488,60,21399,33054,693
44406,60,21399,33054,693
46217,60,21399,33054,693
48013,60,21399,33054,693
49825,60,21399,33054,693
51735,60,21399,33054,693
53614,60,21399,33054,693
55435,60,21399,33054,693
57226,60,21399,33054,693
59051,60,21399,33054,693
60870,60,21399,33054,693
62651,60,21399,33054,693
64480,60,21399,33054,693
66283,60,21399,33054,693
68072,60,21399,33054,693
69920,60,21399,33054,693
71738,60,21399,33054,693
73568,60,21399,33054,693
75397,60,21399,33054,693
77205,60,21399,33054,693
79013,60,21399,33054,693
80786,60,21399,33054,693
82611,60,21399,33054,693
84448,60,21399,33054,693
86244,60,21399,33054,693
1666,60,21399,33054,693
3481,60,21399,33054,693
5569,60,21399,33054,693
7389,60,21399,33054,693
9183,60,21399,33054,693
10967,60,21399,33054,693
12763,60,21399,33054,693
14569,60,21399,33054,693
16396,60,21399,33054,693
18196,60,21399,33054,693
20006,60,21399,33054,693
21821,60,21399,33054,693
23681,60,21399,33054,693
25554,60,21399,33054,693
27382,60,21399,33054,693
29240,60,21399,33054,693
31014,60,21399,33054,693
32842,60,21399,33054,693
34634,60,21399,33054,693
36580,60,21399,33054,693
38535,60,21399,33054,693
40317,60,21399,33054,693
42145,60,21399,33054,693
43957,60,21399,33054,693
45749,60,21399,33054,693
47533,60,21399,33054,693
49333,60,21399,33054,693
51130,60,21399,33054,693
52963,60,21399,33054,693
54967,60,21399,33054,693
57038,60,21399,33054,693
58840,60,21399,33054,693
60658,60,21399,33054,693
62436,60,21399,33054,693
64329,60,21399,33054,693
66133,60,21399,33054,693
67906,60,21399,33054,693
69734,60,21399,33054,693
71547,60,21399,33054,693
73385,60,21399,33054,693
75211,60,21399,33054,693
77070,60,21399,33054,693
78852,60,21399,33054,693
81073,60,21399,33054,693
82895,60,21399,33054,693
84719,60,21399,33054,693
161,60,21399,33054,693
2119,60,21399,33054,693
3893,60,21399,33054,693
5705,60,21399,33054,693
7619,60,21399,33054,693
9408,60,21399,33054,693
11199,60,21399,33054,693
12983,60,21399,33054,693
14812,60,21399,33054,693
16603,60,21399,33054,693
18423,60,21399,33054,693
20550,60,21399,33054,693
22342,60,21399,33054,693
24193,60,21399,33054,693
25982,60,21399,33054,693
27764,60,21399,33054,693
29579,60,21399,33054,693
